owner,family,model_name,is_50,manual_sync,lag,manual_intensity,code,manual_code,manual_lag,manual_pattern,auto_lag,auto_syncs,auto_intensity,auto_code,auto_pattern_name,differences
Qwen,Qwen_Qwen,4,NO,PS,VL,F,PSVLF,PSF,Upstream First,Dense Partial Alignment Pattern,Upstream First,PS,F,PSF,Dense Partial Alignment Pattern,TRUE
Salesforce,Salesforce_ctrl,1,NO,PS,NL,S,PSNLS,PSS,Upstream First,Dispersed Alignment Pattern,Upstream First,PS,S,PSS,Dispersed Alignment Pattern,TRUE
SanctumAI,SanctumAI_granite,1,YES,CS,VL,R,CSVLR,CSR,Upstream First,Rare Alignment Pattern,Upstream First,CS,R,CSR,Rare Alignment Pattern,TRUE
SCUT-DLVCLab,SCUT-DLVCLab_lilt-roberta,1,NO,AS,VL,R,ASVLR,ASR,Upstream First,Rare disjoint pattern,Upstream First,AS,R,ASR,Rare disjoint pattern,TRUE
shhossain,shhossain_opus-mt,1,NO,PS,NL,R,PSNLR,PSR,No Lag,Sparse Alignment Pattern,No Lag,PS,R,PSR,Sparse Alignment Pattern,TRUE
shibing624,shibing624_text2vec,2,NO,PS,GL,S,PSGLS,PSS,Downstream First,Dispersed Alignment Pattern,Downstream First,PS,S,PSS,Dispersed Alignment Pattern,TRUE
sileod,sileod_deberta,2,NO,PS,VL,S,PSVLS,PSS,Upstream First,Dispersed Alignment Pattern,Upstream First,PS,S,PSS,Dispersed Alignment Pattern,TRUE
smallcloudai,smallcloudai_Refact,1,NO,CS,VL,S,CSVLS,CSS,Upstream First,Intermittent Alignment Pattern,Upstream First,CS,S,CSS,Intermittent Alignment Pattern,TRUE
Snowflake,Snowflake_snowflake,6,NO,PS,NL,S,PSNLS,PSS,No Lag,Dispersed Alignment Pattern,No Lag,PS,S,PSS,Dispersed Alignment Pattern,TRUE
snrspeaks,snrspeaks_t5-summary,1,YES,CS,VL,R,CSVLR,CSR,Upstream First,Rare Alignment Pattern,Upstream First,CS,R,CSR,Rare Alignment Pattern,TRUE
solidrust,solidrust_Hermes-2,1,YES,CS,VL,R,CSVLR,CSR,Upstream First,Rare Alignment Pattern,Upstream First,CS,R,CSR,Rare Alignment Pattern,TRUE
stabilityai,stabilityai_stable-code,1,NO,PS,VL,S,PSVLS,PSS,Upstream First,Dispersed Alignment Pattern,Upstream First,PS,S,PSS,Dispersed Alignment Pattern,TRUE
stanfordnlp,stanfordnlp_stanza,1,NO,CS,VL,F,CSVLF,CSF,Upstream First,Frequent Alignment Pattern,Upstream First,CS,F,CSF,Frequent Alignment Pattern,TRUE
taide,taide_TAIDE,2,NO,PS,NL,R,PSNLR,PSR,No Lag,Sparse Alignment Pattern,No Lag,PS,R,PSR,Sparse Alignment Pattern,TRUE
teknium,teknium_OpenHermes,1,NO,AS,GL,R,ASGLR,ASR,Downstream First,Rare disjoint pattern,Downstream First,AS,R,ASR,Rare disjoint pattern,TRUE
TencentGameMate,TencentGameMate_chinese-hubert,1,NO,PS,NL,R,PSNLR,PSR,No Lag,Sparse Alignment Pattern,No Lag,PS,R,PSR,Sparse Alignment Pattern,TRUE
textattack,textattack_textattack,15,YES,PS,VL,R,PSVLR,PSR,Upstream First,Sparse Alignment Pattern,Upstream First,PS,R,PSR,Sparse Alignment Pattern,TRUE
TinyLlama,TinyLlama_TinyLlama,7,YES,PS,NL,S,PSNLS,PSS,No Lag,Dispersed Alignment Pattern,No Lag,PS,S,PSS,Dispersed Alignment Pattern,TRUE
togethercomputer,togethercomputer_StripedHyena,2,NO,PS,NL,S,PSNLS,PSS,No Lag,Dispersed Alignment Pattern,No Lag,PS,S,PSS,Dispersed Alignment Pattern,TRUE
tomaarsen,tomaarsen_span-marker,1,NO,PS,VL,R,PSVLR,PSR,Upstream First,Sparse Alignment Pattern,Upstream First,PS,R,PSR,Sparse Alignment Pattern,TRUE
transfo-xl,transfo-xl_transfo,1,NO,PS,VL,S,PSVLS,PSS,Upstream First,Dispersed Alignment Pattern,Upstream First,PS,S,PSS,Dispersed Alignment Pattern,TRUE
unitary,unitary_detoxify,2,NO,PS,VL,S,PSVLS,PSS,Upstream First,Dispersed Alignment Pattern,Upstream First,PS,S,PSS,Dispersed Alignment Pattern,TRUE
unsloth,unsloth_unsloth-models,17,NO,CS,NL,S,CSNLS,CSS,No Lag,Intermittent Alignment Pattern,No Lag,CS,S,CSS,Intermittent Alignment Pattern,TRUE
urchade,urchade_gliner-models,6,YES,CS,VL,S,CSVLS,CSS,Upstream First,Intermittent Alignment Pattern,Upstream First,CS,R,CSR,Rare Alignment Pattern,FALSE
uw-madison,uw-madison_mra-model,1,NO,AS,VL,R,ASVLR,ASR,Upstream First,Rare disjoint pattern,Upstream First,AS,R,ASR,Rare disjoint pattern,TRUE
valhalla,valhalla_mnli-model,3,NO,PS,GL,S,PSGLS,PSS,Downstream First,Dispersed Alignment Pattern,Downstream First,PS,R,PSR,Sparse Alignment Pattern,FALSE
vectara,vectara_hallucination,1,NO,CS,NL,F,CSNLF,CSF,No Lag,Frequent Alignment Pattern,No Lag,CS,F,CSF,Frequent Alignment Pattern,TRUE
whaleloops,whaleloops_phrase-bert,1,NO,AS,GL,R,ASGLR,ASR,Downstream First,Rare disjoint pattern,Downstream First,AS,R,ASR,Rare disjoint pattern,TRUE
wonrax,wonrax_phobert,1,NO,CS,NL,R,CSNLR,CSR,No Lag,Rare Alignment Pattern,No Lag,CS,R,CSR,Rare Alignment Pattern,TRUE
wxjiao,wxjiao_alpaca,1,NO,CS,NL,R,CSNLR,CSR,No Lag,Rare Alignment Pattern,No Lag,CS,R,CSR,Rare Alignment Pattern,TRUE
xlnet,xlnet_xlnet,2,NO,PS,NL,S,PSNLS,PSS,No Lag,Dispersed Alignment Pattern,No Lag,PS,S,PSS,Dispersed Alignment Pattern,TRUE
